X, Y, T, Action
-0.58777, 0.661924, 2.2827, GoToPosition
-0.600496, 0.676671, 2.28273, TurnToAngle
-0.610036, 0.687716, 2.28277, Turn
-0.619594, 0.698778, 2.283, TurnToAngle
-0.630289, 0.711265, 2.32213, Turn
-0.672698, 0.762289, 2.40086, GoAhead
-0.713172, 0.804052, 2.47114, GoAhead
-0.741664, 0.829177, 2.47281, GoAhead
-0.768476, 0.850297, 2.47272, GoAhead
-0.791433, 0.868411, 2.47264, GoAhead
-0.814361, 0.886522, 2.47262, GoAhead
-0.837282, 0.90464, 2.47264, GoAhead
-0.860229, 0.922776, 2.4726, GoAhead
-0.88318, 0.940896, 2.4726, GoAhead
